elapsed,amplitudeSummary
 0.00002267574,0
 0.00136711791,671
 0.00271156009,740
 0.00405600227,1906
 0.00540044444,195
 0.00674488662,2966
 0.00808932880,1485
 0.00943377098,3148
 0.01077821315,1697
 0.01212265533,3776
 0.01346709751,52
 0.01481153968,2768
 0.01615598186,515
 0.01750042404,2333
 0.01884486621,1778
 0.02018930839,3019
 0.02153375057,2282
 0.02287819274,3397
 0.02422263492,662
 0.02556707710,2817
 0.02691151927,64
 0.02825596145,718
 0.02960040363,1974
 0.03094484580,932
 0.03228928798,2490
 0.03363373016,1564
 0.03497817234,2262
 0.03632261451,1336
 0.03766705669,1471
 0.03901149887,1788
 0.04035594104,468
 0.04170038322,709
 0.04304482540,1306
 0.04438926757,1109
 0.04573370975,752
 0.04707815193,1200
 0.04842259410,1468
 0.04976703628,635
 0.05111147846,1416
 0.05245592063,108
 0.05380036281,247
 0.05514480499,413
 0.05648924717,1058
 0.05783368934,377
 0.05917813152,1262
 0.06052257370,1117
 0.06186701587,422
 0.06321145805,948
 0.06455590023,2460
 0.06590034240,1446
 0.06724478458,251
 0.06858922676,245
 0.06993366893,312
 0.07127811111,523
 0.07262255329,788
 0.07396699546,289
 0.07531143764,645
 0.07665587982,1154
 0.07800032200,693
 0.07934476417,770
 0.08068920635,525
 0.08203364853,1739
 0.08337809070,213
 0.08472253288,1330
 0.08606697506,408
 0.08741141723,1302
 0.08875585941,48
 0.09010030159,1200
 0.09144474376,746
 0.09278918594,271
 0.09413362812,2217
 0.09547807029,916
 0.09682251247,2677
 0.09816695465,2004
 0.09951139683,2766
 0.10085583900,1344
 0.10220028118,1758
 0.10354472336,847
 0.10488916553,2150
 0.10623360771,951
 0.10757804989,3493
 0.10892249206,112
 0.11026693424,3791
 0.11161137642,434
 0.11295581859,3290
 0.11430026077,430
 0.11564470295,1602
 0.11698914512,1862
 0.11833358730,3597
 0.11967802948,599
 0.12102247166,3582
 0.12236691383,548
 0.12371135601,2794
 0.12505579819,410
 0.12640024036,480
 0.12774468254,1509
 0.12908912472,23
 0.13043356689,463
 0.13177800907,756
 0.13312245125,712
 0.13446689342,2134
 0.13581133560,1459
 0.13715577778,3517
 0.13850021995,105
 0.13984466213,2788
 0.14118910431,546
 0.14253354649,1147
 0.14387798866,1747
 0.14522243084,1640
 0.14656687302,2391
 0.14791131519,1957
 0.14925575737,1794
 0.15060019955,1806
 0.15194464172,1171
 0.15328908390,1336
 0.15463352608,507
 0.15597796825,182
 0.15732241043,2396
 0.15866685261,3434
 0.16001129478,479
 0.16135573696,1760
 0.16270017914,1478
 0.16404462132,30
 0.16538906349,4335
 0.16673350567,4820
 0.16807794785,3233
 0.16942239002,1756
 0.17076683220,5697
 0.17211127438,7780
 0.17345571655,3760
 0.17480015873,1292
 0.17614460091,3635
 0.17748904308,10626
 0.17883348526,4959
 0.18017792744,399
 0.18152236961,7444
 0.18286681179,9966
 0.18421125397,5029
 0.18555569615,352
 0.18690013832,1111
 0.18824458050,8991
 0.18958902268,4563
 0.19093346485,1271
 0.19227790703,5181
 0.19362234921,8435
 0.19496679138,4391
 0.19631123356,969
 0.19765567574,608
 0.19900011791,8785
 0.20034456009,4427
 0.20168900227,1426
 0.20303344444,3324
 0.20437788662,7482
 0.20572232880,4686
 0.20706677098,95
 0.20841121315,172
 0.20975565533,7401
 0.21110009751,2172
 0.21244453968,3011
 0.21378898186,2988
 0.21513342404,6975
 0.21647786621,4628
 0.21782230839,1132
 0.21916675057,935
 0.22051119274,3120
 0.22185563492,2851
 0.22320007710,5314
 0.22454451927,1494
 0.22588896145,6182
 0.22723340363,4658
 0.22857784580,1669
 0.22992228798,1369
 0.23126673016,360
 0.23261117234,5575
 0.23395561451,5883
 0.23530005669,1572
 0.23664449887,5649
 0.23798894104,4531
 0.23933338322,1795
 0.24067782540,1527
 0.24202226757,340
 0.24336670975,5457
 0.24471115193,4874
 0.24605559410,2563
 0.24740003628,5569
 0.24874447846,4087
 0.25008892063,2092
 0.25143336281,1315
 0.25277780499,903
 0.25412224717,5925
 0.25546668934,4734
 0.25681113152,1953
 0.25815557370,4666
 0.25950001587,3923
 0.26084445805,2382
 0.26218890023,1163
 0.26353334240,1743
 0.26487778458,5827
 0.26622222676,4656
 0.26756666893,1490
 0.26891111111,3913
 0.27025555329,2689
 0.27159999546,1658
 0.27294443764,1245
 0.27428887982,942
 0.27563332200,5786
 0.27697776417,4054
 0.27832220635,1155
 0.27966664853,3388
 0.28101109070,2776
 0.28235553288,814
 0.28369997506,908
 0.28504441723,735
 0.28638885941,5430
 0.28773330159,3787
 0.28907774376,1741
 0.29042218594,3897
 0.29176662812,2826
 0.29311107029,449
 0.29445551247,332
 0.29579995465,398
 0.29714439683,5238
 0.29848883900,4352
 0.29983328118,1402
 0.30117772336,3394
 0.30252216553,2188
 0.30386660771,258
 0.30521104989,259
 0.30655549206,789
 0.30789993424,3742
 0.30924437642,3540
 0.31058881859,1735
 0.31193326077,3428
 0.31327770295,2078
 0.31462214512,292
 0.31596658730,36
 0.31731102948,1918
 0.31865547166,2511
 0.31999991383,2958
 0.32134435601,1721
 0.32268879819,3364
 0.32403324036,2431
 0.32537768254,432
 0.32672212472,511
 0.32806656689,1953
 0.32941100907,1927
 0.33075545125,3218
 0.33209989342,1415
 0.33344433560,4102
 0.33478877778,3235
 0.33613321995,95
 0.33747766213,698
 0.33882210431,1391
 0.34016654649,2807
 0.34151098866,4324
 0.34285543084,1163
 0.34419987302,4215
 0.34554431519,3014
 0.34688875737,124
 0.34823319955,163
 0.34957764172,1925
 0.35092208390,1918
 0.35226652608,3114
 0.35361096825,2102
 0.35495541043,4450
 0.35629985261,3007
 0.35764429478,660
 0.35898873696,996
 0.36033317914,1946
 0.36167762132,3117
 0.36302206349,3860
 0.36436650567,2008
 0.36571094785,4679
 0.36705539002,3242
 0.36839983220,2165
 0.36974427438,2023
 0.37108871655,1308
 0.37243315873,4264
 0.37377760091,4565
 0.37512204308,1213
 0.37646648526,4046
 0.37781092744,3187
 0.37915536961,1946
 0.38049981179,2349
 0.38184425397,135
 0.38318869615,5772
 0.38453313832,4615
 0.38587758050,1025
 0.38722202268,3850
 0.38856646485,2203
 0.38991090703,1574
 0.39125534921,2856
 0.39259979138,1221
 0.39394423356,6038
 0.39528867574,2953
 0.39663311791,1559
 0.39797756009,810
 0.39932200227,133
 0.40066644444,1745
 0.40201088662,1612
 0.40335532880,3924
 0.40469977098,6587
 0.40604421315,1577
 0.40738865533,2268
 0.40873309751,64
 0.41007753968,418
 0.41142198186,1974
 0.41276642404,1331
 0.41411086621,4060
 0.41545530839,6785
 0.41679975057,1390
 0.41814419274,2303
 0.41948863492,585
 0.42083307710,744
 0.42217751927,2466
 0.42352196145,1257
 0.42486640363,4198
 0.42621084580,6583
 0.42755528798,1970
 0.42889973016,1202
 0.43024417234,337
 0.43158861451,534
 0.43293305669,2559
 0.43427749887,1375
 0.43562194104,4403
 0.43696638322,6465
 0.43831082540,1779
 0.43965526757,1952
 0.44099970975,1492
 0.44234415193,1946
 0.44368859410,2641
 0.44503303628,2496
 0.44637747846,2771
 0.44772192063,212
 0.44906636281,1997
 0.45041080499,1437
 0.45175524717,3999
 0.45309968934,3536
 0.45444413152,1171
 0.45578857370,2835
 0.45713301587,6650
 0.45847745805,2306
 0.45982190023,1998
 0.46116634240,1607
 0.46251078458,4823
 0.46385522676,3403
 0.46519966893,505
 0.46654411111,2443
 0.46788855329,6929
 0.46923299546,3245
 0.47057743764,1900
 0.47192187982,2214
 0.47326632200,4574
 0.47461076417,3312
 0.47595520635,0
 0.47729964853,3244
 0.47864409070,7683
 0.47998853288,3425
 0.48133297506,2352
 0.48267741723,527
 0.48402185941,2699
 0.48536630159,1968
 0.48671074376,1802
 0.48805518594,2299
 0.48939962812,7850
 0.49074407029,3954
 0.49208851247,1808
 0.49343295465,2667
 0.49477739683,941
 0.49612183900,443
 0.49746628118,2894
 0.49881072336,1500
 0.50015516553,7562
 0.50149960771,4391
 0.50284404989,2304
 0.50418849206,4427
 0.50553293424,2597
 0.50687737642,1016
 0.50822181859,1783
 0.50956626077,494
 0.51091070295,5071
 0.51225514512,3914
 0.51359958730,3849
 0.51494402948,6043
 0.51628847166,3466
 0.51763291383,1290
 0.51897735601,1024
 0.52032179819,2083
 0.52166624036,2389
 0.52301068254,2964
 0.52435512472,3341
 0.52569956689,5504
 0.52704400907,2993
 0.52838845125,100
 0.52973289342,504
 0.53107733560,3653
 0.53242177778,50
 0.53376621995,1491
 0.53511066213,2099
 0.53645510431,3379
 0.53779954649,1277
 0.53914398866,1707
 0.54048843084,39
 0.54183287302,3970
 0.54317731519,1913
 0.54452175737,1597
 0.54586619955,209
 0.54721064172,1711
 0.54855508390,406
 0.54989952608,2379
 0.55124396825,539
 0.55258841043,5438
 0.55393285261,2343
 0.55527729478,2412
 0.55662173696,2295
 0.55796617914,214
 0.55931062132,452
 0.56065506349,1329
 0.56199950567,139
 0.56334394785,4549
 0.56468839002,2556
 0.56603283220,3196
 0.56737727438,3885
 0.56872171655,1416
 0.57006615873,239
 0.57141060091,1012
 0.57275504308,2669
 0.57409948526,1645
 0.57544392744,2029
 0.57678836961,2390
 0.57813281179,2706
 0.57947725397,1078
 0.58082169615,1099
 0.58216613832,81
 0.58351058050,3454
 0.58485502268,1197
 0.58619946485,711
 0.58754390703,1690
 0.58888834921,1804
 0.59023279138,94
 0.59157723356,1762
 0.59292167574,677
 0.59426611791,2837
 0.59561056009,1350
 0.59695500227,877
 0.59829944444,628
 0.59964388662,1048
 0.60098832880,329
 0.60233277098,1538
 0.60367721315,860
 0.60502165533,2459
 0.60636609751,1845
 0.60771053968,1139
 0.60905498186,645
 0.61039942404,503
 0.61174386621,588
 0.61308830839,597
 0.61443275057,941
 0.61577719274,1541
 0.61712163492,529
 0.61846607710,1244
 0.61981051927,679
 0.62115496145,263
 0.62249940363,1570
 0.62384384580,79
 0.62518828798,799
 0.62653273016,697
 0.62787717234,177
 0.62922161451,1159
 0.63056605669,501
 0.63191049887,193
 0.63325494104,1182
 0.63459938322,101
 0.63594382540,67
 0.63728826757,644
 0.63863270975,257
 0.63997715193,814
 0.64132159410,351
 0.64266603628,73
 0.64401047846,268
 0.64535492063,146
 0.64669936281,208
 0.64804380499,201
 0.64938824717,1118
 0.65073268934,1060
 0.65207713152,9
 0.65342157370,658
 0.65476601587,1080
 0.65611045805,374
 0.65745490023,25
 0.65879934240,579
 0.66014378458,913
 0.66148822676,352
 0.66283266893,133
 0.66417711111,462
 0.66552155329,1036
 0.66686599546,901
 0.66821043764,22
 0.66955487982,369
 0.67089932200,1186
 0.67224376417,628
 0.67358820635,309
 0.67493264853,35
 0.67627709070,131
 0.67762153288,535
 0.67896597506,489
 0.68031041723,198
 0.68165485941,829
 0.68299930159,422
 0.68434374376,1120
 0.68568818594,38
 0.68703262812,236
 0.68837707029,133
 0.68972151247,1260
 0.69106595465,2393
 0.69241039683,380
 0.69375483900,49
 0.69509928118,370
 0.69644372336,140
 0.69778816553,56
 0.69913260771,790
 0.70047704989,1344
 0.70182149206,1635
 0.70316593424,2316
 0.70451037642,83
 0.70585481859,748
 0.70719926077,785
 0.70854370295,93
 0.70988814512,1828
 0.71123258730,4735
 0.71257702948,2015
 0.71392147166,870
 0.71526591383,2604
 0.71661035601,1533
 0.71795479819,10
 0.71929924036,1112
 0.72064368254,2350
 0.72198812472,1072
 0.72333256689,1091
 0.72467700907,1371
 0.72602145125,270
 0.72736589342,179
 0.72871033560,332
 0.73005477778,448
 0.73139921995,394
 0.73274366213,66
 0.73408810431,1314
 0.73543254649,2240
 0.73677698866,1085
 0.73812143084,43
 0.73946587302,209
 0.74081031519,249
 0.74215475737,590
 0.74349919955,267
 0.74484364172,721
 0.74618808390,1052
 0.74753252608,372
 0.74887696825,202
 0.75022141043,424
 0.75156585261,418
 0.75291029478,17
 0.75425473696,787
 0.75559917914,2912
 0.75694362132,1664
 0.75828806349,2141
 0.75963250567,2818
 0.76097694785,2007
 0.76232139002,1115
 0.76366583220,4911
 0.76501027438,10118
 0.76635471655,5945
 0.76769915873,193
 0.76904360091,982
 0.77038804308,2365
 0.77173248526,3952
 0.77307692744,5047
 0.77442136961,6429
 0.77576581179,811
 0.77711025397,812
 0.77845469615,3530
 0.77979913832,3308
 0.78114358050,1390
 0.78248802268,1423
 0.78383246485,3491
 0.78517690703,10521
 0.78652134921,6253
 0.78786579138,1167
 0.78921023356,3412
 0.79055467574,4614
 0.79189911791,4114
 0.79324356009,9169
 0.79458800227,14376
 0.79593244444,7644
 0.79727688662,881
 0.79862132880,171
 0.79996577098,257
 0.80131021315,2543
 0.80265465533,4909
 0.80399909751,5942
 0.80534353968,442
 0.80668798186,2356
 0.80803242404,1222
 0.80937686621,2067
 0.81072130839,782
 0.81206575057,1496
 0.81341019274,562
 0.81475463492,6297
 0.81609907710,4886
 0.81744351927,1282
 0.81878796145,2538
 0.82013240363,4066
 0.82147684580,1807
 0.82282128798,6324
 0.82416573016,12904
 0.82551017234,8462
 0.82685461451,1998
 0.82819905669,516
 0.82954349887,2543
 0.83088794104,3837
 0.83223238322,8490
 0.83357682540,14586
 0.83492126757,9600
 0.83626570975,2175
 0.83761015193,1049
 0.83895459410,2691
 0.84029903628,2962
 0.84164347846,7374
 0.84298792063,12515
 0.84433236281,7471
 0.84567680499,991
 0.84702124717,463
 0.84836568934,1078
 0.84971013152,2030
 0.85105457370,5550
 0.85239901587,10245
 0.85374345805,5152
 0.85508790023,801
 0.85643234240,935
 0.85777678458,1534
 0.85912122676,1158
 0.86046566893,3787
 0.86181011111,8004
 0.86315455329,3475
 0.86449899546,2500
 0.86584343764,1341
 0.86718787982,1363
 0.86853232200,372
 0.86987676417,2885
 0.87122120635,7448
 0.87256564853,2936
 0.87391009070,2594
 0.87525453288,1360
 0.87659897506,1049
 0.87794341723,211
 0.87928785941,2994
 0.88063230159,6974
 0.88197674376,2484
 0.88332118594,2611
 0.88466562812,523
 0.88601007029,32
 0.88735451247,1066
 0.88869895465,683
 0.89004339683,5714
 0.89138783900,1819
 0.89273228118,2544
 0.89407672336,28
 0.89542116553,828
 0.89676560771,2272
 0.89811004989,2005
 0.89945449206,1817
 0.90079893424,1571
 0.90214337642,2426
 0.90348781859,979
 0.90483226077,1686
 0.90617670295,2673
 0.90752114512,2637
 0.90886558730,171
 0.91021002948,3362
 0.91155447166,4485
 0.91289891383,76
 0.91424335601,1762
 0.91558779819,3571
 0.91693224036,2836
 0.91827668254,2999
 0.91962112472,7098
 0.92096556689,5365
 0.92231000907,552
 0.92365445125,1517
 0.92499889342,3330
 0.92634333560,2730
 0.92768777778,5707
 0.92903221995,9751
 0.93037666213,6006
 0.93172110431,448
 0.93306554649,1299
 0.93440998866,2663
 0.93575443084,3137
 0.93709887302,4933
 0.93844331519,8224
 0.93978775737,4200
 0.94113219955,890
 0.94247664172,1102
 0.94382108390,1801
 0.94516552608,2213
 0.94650996825,3143
 0.94785441043,4977
 0.94919885261,475
 0.95054329478,3377
 0.95188773696,2062
 0.95323217914,1557
 0.95457662132,1249
 0.95592106349,448
 0.95726550567,936
 0.95860994785,3627
 0.95995439002,5035
 0.96129883220,1713
 0.96264327438,964
 0.96398771655,42
 0.96533215873,395
 0.96667660091,2197
 0.96802104308,7125
 0.96936548526,6548
 0.97070992744,2440
 0.97205436961,912
 0.97339881179,544
 0.97474325397,1644
 0.97608769615,4657
 0.97743213832,8765
 0.97877658050,5868
 0.98012102268,1248
 0.98146546485,174
 0.98280990703,1421
 0.98415434921,1733
 0.98549879138,5048
 0.98684323356,8649
 0.98818767574,5046
 0.98953211791,182
 0.99087656009,898
 0.99222100227,2317
 0.99356544444,1873
 0.99490988662,4637
 0.99625432880,8383
 0.99759877098,4222
 0.99894321315,770
 1.00028765533,901
 1.00163209751,1922
 1.00297653968,1148
 1.00432098186,3342
 1.00566542404,7025
 1.00700986621,2618
 1.00835430839,1908
 1.00969875057,1512
 1.01104319274,1551
 1.01238763492,1217
 1.01373207710,2842
 1.01507651927,5892
 1.01642096145,1503
 1.01776540363,2810
 1.01910984580,1026
 1.02045428798,761
 1.02179873016,499
 1.02314317234,1236
 1.02448761451,4293
 1.02583205669,707
 1.02717649887,2838
 1.02852094104,462
 1.02986538322,18
 1.03120982540,769
 1.03255426757,139
 1.03389870975,3365
 1.03524315193,366
 1.03658759410,3102
 1.03793203628,190
 1.03927647846,1047
 1.04062092063,1603
 1.04196536281,820
 1.04330980499,2058
 1.04465424717,1624
 1.04599868934,3431
 1.04734313152,56
 1.04868757370,840
 1.05003201587,1192
 1.05137645805,1307
 1.05272090023,83
 1.05406534240,3321
 1.05540978458,4206
 1.05675422676,220
 1.05809866893,951
 1.05944311111,1791
 1.06078755329,1589
 1.06213199546,469
 1.06347643764,3674
 1.06482087982,3300
 1.06616532200,140
 1.06750976417,619
 1.06885420635,1791
 1.07019864853,1521
 1.07154309070,591
 1.07288753288,4274
 1.07423197506,3928
 1.07557641723,171
 1.07692085941,610
 1.07826530159,2077
 1.07960974376,1797
 1.08095418594,749
 1.08229862812,4365
 1.08364307029,3806
 1.08498751247,204
 1.08633195465,950
 1.08767639683,2292
 1.08902083900,1714
 1.09036528118,567
 1.09170972336,4053
 1.09305416553,3279
 1.09439860771,567
 1.09574304989,1053
 1.09708749206,2185
 1.09843193424,1688
 1.09977637642,672
 1.10112081859,3928
 1.10246526077,3282
 1.10380970295,1265
 1.10515414512,1543
 1.10649858730,2041
 1.10784302948,1283
 1.10918747166,343
 1.11053191383,3765
 1.11187635601,2811
 1.11322079819,880
 1.11456524036,877
 1.11590968254,1580
 1.11725412472,568
 1.11859856689,399
 1.11994300907,3009
 1.12128745125,2287
 1.12263189342,886
 1.12397633560,876
 1.12532077778,1346
 1.12666521995,545
 1.12800966213,688
 1.12935410431,2895
 1.13069854649,2333
 1.13204298866,833
 1.13338743084,979
 1.13473187302,1209
 1.13607631519,475
 1.13742075737,268
 1.13876519955,3109
 1.14010964172,2488
 1.14145408390,735
 1.14279852608,743
 1.14414296825,799
 1.14548741043,412
 1.14683185261,566
 1.14817629478,3396
 1.14952073696,2464
 1.15086517914,721
